hour_coded;immobilized_bus;broken_truck;vehicle_excess;accident_victim;running_over;fire_vehicles;occurrence_involving_freight;incident_involving_dangerous_freight;lack_of_electricity;fire;point_of_flooding;manifestations;defect_in_the_network_of_trolleybuses;tree_on_the_road;semaphore_off;intermittent_semaphore;slowness_in_traffic;hour_decoded;day
24;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;18.1;19;5
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.7;18;2
20;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11.0;17;2
12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8.2;13;3
3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.5;8;5
25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.9;19;4
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.5;9;2
18;1;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8.4;16;2
19;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9.9;16;4
9;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;8.3;11;2
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;17.1;18;3
7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;7.9;10;2
14;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9.7;14;5
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.7;8;1
17;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8.9;15;5
15;1;2;0;1;0;0;0;0;0;0;0;0;1;0;1;0;10.3;14;5
4;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;6.4;9;5
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.2;9;1
13;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;8.0;13;3
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.0;15;3
5;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;7.0;9;3
23;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;17.8;18;5
18;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;9.4;16;5
7;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;7.6;10;4
26;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;21.5;20;4
13;2;2;0;1;0;0;0;1;0;0;0;1;0;0;0;0;10.1;13;4
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.9;18;1
5;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;8.2;9;5
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.2;12;1
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;-1;5
1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4;7;3
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.8;13;1
26;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;23.4;20;3
9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.4;11;4
18;2;4;0;1;0;0;0;0;0;0;0;0;1;0;0;0;10.1;16;3
17;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;12.1;15;4
18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.1;16;1
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;9;4
21;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;15.0;17;3
25;1;3;0;2;0;0;0;0;4;0;1;0;0;0;4;0;22.6;19;3
25;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;16.8;19;2
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.7;13;1
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.1;7;1
23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.6;18;4
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.1;17;1
22;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;13.7;18;4
10;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.3;12;5
26;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;11.4;20;1
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.6;17;5
23;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;19.6;18;3
26;0;4;0;0;0;0;0;0;0;0;0;1;0;0;1;0;17.4;20;5
8;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;6.6;11;4
7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.3;10;1
15;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8.1;14;2
2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5.0;8;5
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.9;10;1
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.6;9;4
16;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12.5;15;4
25;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;11.8;19;1
14;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4.9;14;1
16;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;10.9;15;5
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;4.9;7;2
13;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8.7;13;2
14;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;6.2;14;3
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.3;19;4
11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.5;12;2
21;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.1;17;4
16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.3;15;1
6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.5;10;2
15;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.1;14;1
6;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7.4;10;3
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.0;8;2
